,top_clues,top_friends,low_friends,foes,neutrals,assassin
27,consulate attorney solicitor consul consular barrister diplomat litigator notary ambassador,phoenix embassy lawyer,lab pound center box bugle,plate scientist web foot head chest school pie water,swing slug jam queen shot pound rabbit,fall
28,ballet choreography Cinderella ballerina choreographer flamenco troupe queen fairy diva,princess phoenix dance,tablet needle key mole foot,mouth note paper crown smuggler palm slug nut slip,ruler vet ground pants church embassy phoenix,stadium
29,federally legislature Federal Missouri Indiana gubernatorial Nevada Illinois implementation California,state pilot,suit thief torch pie shoe knight,millionaire piano embassy palm princess spell missile spine flute,fly cap crane shop horseshoe force field,hospital
30,baccarat blackjack poker casino gambling gambler keno bingo backgammon snooker,club dragon roulette,cell nut nail boot snow,mammoth laser vet snow wave hawk school lab track,beat bar lock charge ground ambulance eye,piano
31,explosion detonation explosive terror blast extraterrestrial hypersonic supersonic nuclear missile,alien bomb wave air,piano marble note canada,club alien straw hawk switch tablet check glove maple,olive king boot microscope buffalo ground dress,figure
32,collision explosion attack accident incident derailment assault blast collide carnage,crash mass strike,hook horn green hawk game,dwarf note cycle millionaire vet draft post cotton chair,knife dinosaur hood spike eagle scale bug,gold
33,attorney solicitor litigator barrister prosecutor counsel accountant litigant psychiatrist jurist,lawyer,plate hook drop gold string degree block,organ dragon head bond wave air soul princess fan,pipe bell disease rock glass circle lion,dice
34,rosewood skirt ruffle raffia strapless kowtow quiver dress headpiece mahogany,ivory bow,litter fan check arm nurse ambulance,round honey grace compound wall plate gold ray log,yard point cook straw center needle tower,buffalo
35,debit postal postage forwarding receipt send sender letterhead receipts envelope,card mail,bug bell pyramid doctor brush pipe,shop disease dinosaur cell park platypus wind calf soldier,luck change pin ambulance trunk lab bow,revolution
36,silver buckle platinum medal strap diamond garnet hematite cased collar,gold belt drill,bomb mammoth carrot cold penguin,deck bank boom grass web film pool capital tooth,forest suit telescope foot superhero belt arm,worm
37,pathology tuberculosis diagnosis microscopy melanoma cancer treatable bacterium infection pathogen,disease microscope,bottle angel space star snow crash,date racket lemon cotton washer screen scale contract robot,tooth model pipe button port iron torch,revolution
38,underscore critical important fundamental multiple essential vital attribute specific integral,string key,watch gold lawyer copper scientist hawk,cliff fork tie concert track string telescope date dinosaur,bill pie novel needle snow slug crown,cricket
39,violin cello saxophone vibraphone harmonic harpsichord guitar viola virtuosic instrument,piano pole scale,tablet beach ivory pass shark,ketchup princess net boot buffalo church sock trip pool,swing alien poison crown pin green scale,temple
40,petroleum gas gasoline refinery petrochemical bitumen lubricant paraffin crude condensate,tube oil,park wave suit arm figure triangle,date tablet scale tooth china jack mouse fan space,temple day dance pants ground ring trip,hook
41,lender filing office creditor finance printing auditor disbursement audit shareholder,file bank press,robot spine pound green scientist,spider satellite part comic tag bear spell horseshoe crown,degree boom robot ivory shot turkey well,link
42,teeth fastener jaw screw latch flange socket weld molar wrench,bolt tooth,post witch china fall figure bugle,cricket cliff mug bomb spider buffalo bell back conductor,crash king pin star figure vet drill,phoenix
43,lunar causeway monolith chasm gigantic landmark viaduct Saturn overpass crater,spell giant bridge moon,model bill cotton robin,cook scale rabbit charge pirate bow sock kangaroo dice,litter thief cover tube school disease duck,beat
44,pummel trounce win thrashing outscore reeled tied losing thumping outplayed,beat pound string,march cycle missile hospital penguin,light revolution fan spike film laser skyscraper cross horn,cell calf line litter chair stream oil,helicopter
45,teeth bristle weigh chipped chisel caries nibble enamel molar chomp,pound pin brush tooth,deck eagle suit princess,glove smuggler crane casino maple washer chest button spine,link bar game laser unicorn capital crash,sock
46,play league offense team squad overtime forcing scrimmage combat defeat,game force,stick rose palm note tube spider,space worm robin bow board nut marble millionaire degree,school boot hook dwarf pipe angel hawk,battery
47,league join venue following joining premiership comment coaching submit site,club post,bell pyramid plate princess mount copper,china board pirate satellite pyramid church knight well bug,rose stadium life pound chest sound spot,bottle
48,preheated preheat skillet reheat oven microwave defrost fryer colander boiling,vacuum pan,ground stream dice chick plane shop,crown tube kangaroo fighter charge maple mount crane plane,pole unicorn center litter fan fair diamond,casino
49,zinc manganese cobalt molybdenum avocado apricot pomegranate palladium mica rapeseed,copper olive,wall fan fire state lock change,bug drill file foot ruler pound chest duck hole,telescope knife pass honey robin green nail,shoe
50,potatoes saute fry tablespoon butter buttered skillet zucchini uncooked celery,pan pound carrot,wave vet shadow wind missile,green head tablet shot band olive glass dragon snow,rabbit honey paste eagle bear lion fly,mount
51,condiment mayonnaise tomato syrup marmalade applesauce sauce pectin grape balsamic,berry ketchup,tablet hook lawyer fly tag spider,bed dice cycle honey date check ghost opera string,board air concert mail day tie disease,princess
52,pupil headmaster schoolmaster tutor disciple educator despot scholar caliph monarch,ruler circle teacher,suit tooth glass copper lion,forest arm fire contract mail bark eye staff web,triangle ghost mole telescope orange track bear,hook
53,skillet spatula buttered simmer griddle saute colander ladle preheated marinate,dice pan,dragon stream princess novel octopus lion,bank horse pole game satellite spy limousine witch web,agent unicorn back green laser row tooth,buffalo
54,swordsman archer nobleman sword squire revolver marksman warrior assassin rifle,pistol knight figure,pool bill sink snow mug,file piano duck gas pool giant box space torch,square string horseshoe disease buffalo match root,switch
55,dinnerware tray flatware tableware napkin cutlery tablecloth platter crockery porcelain,card plate china,park plot trunk bed missile,wave shadow unicorn ice capital watch compound comic horn,game pumpkin film laser box telescope thumb,shop
56,paddling surf cabana abyss infinity billiards rectangle playground clockwise imaginary,circle back wave pool,crane bolt bridge crash,shot lead spring yard needle spike contract check boom,head spell dice pants pit paper pool,air
57,facility clinic institute campus radiology technician classroom planetarium research observatory,lab center,comic grass yard mammoth bugle bat,disease brush tap straw limousine agent stream force drill,scorpion suit pipe head police tube bow,star
58,quiver tugging swung flexion buttoned shiver cocked instep knuckle bend,cloak swing spine tick bow,file skyscraper alien,model pupil school copper poison figure crown pass fish,soul lemon microscope slip canada angel file,watch
59,doctorate graduate bachelor baccalaureate diploma undergraduate doctoral graduated specialization postgraduate,degree,fork china bottle water rose alien bark,bomb center shark eagle tooth embassy net court horse,spot queen ball fence part cast shot,button
