,top_clues,top_friends,low_friends,foes,neutrals,assassin
23,pomegranate marsupial avocado almond pistachio capsicum apricot emu hazelnut beetroot,kangaroo olive,day parachute contract king pants piano,horseshoe theater tie buck stadium lab cover grass pool,pit strike scientist bug bottle fall diamond,bond
24,symphonic music jazz musical classical orchestral concert punk choral oratorio,rock opera,parachute contract robot arm plate bugle,lemon triangle bark bill track foot ship jack fly,air hook change rock comic stick casino,pilot
25,sleet crevasse slushy rain hillside slope wintry fog impassable ledge,cliff snow,note roulette figure mouth spine piano,horseshoe knight hook phoenix arm scale princess ball suit,glove line police model center cross thief,mammoth
26,soul heavenly bless heaven God Jesus sinner love divine sinful,heart angel,bond lemon cook leprechaun revolution pumpkin,spine key cap horn dwarf revolution staff hospital ball,berry telescope trunk soldier card figure head,skyscraper
27,beeswax almond apricot syrup sugar cotton cocoa myrrh flax barley,straw copper princess honey,microscope school draft code,rock shark staff mount net robot game dwarf plane,queen china pants scientist slip soldier sock,park
28,personnel consulate headquarters department consular evacuate directorate evacuation secretariat liaison,staff fire embassy,ice novel diamond round bat,knife dwarf scale life crash apple rabbit thief angel,nut roulette pirate snow state telescope gas,piano
29,display wrist frame shoulder front panel pivot diagonal platform diagonally,arm screen center,bed bank match time fair,mouse leprechaun bear ball nurse cliff root head box,rabbit grace lemon fan orange copper unicorn,jet
30,community organization society group Methodist synagogue pastor family congregational Christianity,club church part time,slug ruler vacuum tick,spring pound ghost contract duck cover mount theater play,screen scale wave pirate missile alien bow,pupil
31,coronation princess eve nuptials twilight wedding diva duchess evening king,moon day slip ring queen,bark pit novel,root buffalo check lemon chest link point pin beat,lead spot part piano palm plate laser,pole
32,detachable armrest lever lid defrost lockable removable unscrew headrest skillet,mount ivory trunk pan button,strike air tablet,line draft triangle spine conductor rock log degree microscope,cap scientist net compound vet poison nail,school
33,observatory astronomer astronomy spectrometer planetarium imager optics binocular telescopic reflector,telescope,hook triangle pound jack boot plate charge,pole bond doctor time concert straw bridge field stock,lemon spike pan stick maple ice glove,platypus
34,charging debit passport postage payment photocopy visa booking prepay receipt,card charge,hand octopus school bolt circle crown,table contract sink queen pit fire horse lion hook,whip nut fly plot comic novel wave,school
35,estimate calculate calculation calculating automaton extrapolate estimation mannequin compute simulation,robot figure,death ice lead ring grace well,mail unicorn phoenix whale genius revolution spider pistol thumb,cotton pole cycle tick beach press temple,giant
36,clinic physician hospital outpatient medical patient internist physiotherapist surgeon nurse,contract doctor center,shadow cover glove cap button,port star battery gas pyramid check paper bell scientist,pool light worm tablet angel stock mass,hawk
37,mayonnaise soda vinegar milk chlorine salt salty syrup cornstarch brine,ketchup water,horn leprechaun round telescope staff square,undertaker cloak card millionaire stream hook ruler table knife,train canada temple life sock stock spy,phoenix
38,cupped finger forefinger bend swivel clasp arm arching caress swung,pin palm swing cross mouth,washer post queen,stream club crash stadium hole tooth pit plot lab,dress octopus compound day paste church plastic,comic
39,rectangle cityscape pentagon pyramid triangular minaret Calatrava urbanism billboard viaduct,skyscraper triangle,trip slip fall vet code well,spring back day soldier court piano witch cotton bark,check chick whip night paste jack tap,knight
