,top_clues,top_friends,low_friends,foes,neutrals,assassin
54,attorney educator accountant lecturer solicitor,lawyer teacher,alien spider torch mouse cast satellite,ball heart berry bug apple pitch fence tube bat,bridge plane trunk needle cold poison band,key
55,hospital medic midwife anesthesiologist nursing,nurse ambulance,club hook princess dice spring bat march,tooth bed port card church tail nut fish,scorpion racket spell gas jam switch buffalo,roulette
56,pup dogs puppy rodent kitten,litter rabbit,server pie pistol yard park drill deck,square cast jam paste school engine robot kangaroo,drop concert card olive code star cloak,crown
57,headmaster educator schoolmaster tutor headmistress,teacher ruler,string soldier marble mass key robot,slip helicopter shop model heart thief band cook jet,lawyer doctor mail bank revolution bow dice,microscope
58,constable patrolman sheriff informant detective,police agent,tablet concert torch penguin pound opera,field link piano bed life spy well copper eagle,cell leprechaun watch nail shop trunk row,strike
59,lunar constellation Pleiades galaxy supernova,star moon,charge shop time net spot boot plane,post lab leprechaun oil swing lawyer grass helicopter,knife log fence laser drill whale arm,row
60,week ear afternoon morning night,head eye hand day,novel cap bell undertaker,nurse fall tail boot roulette soul wall link marble,glove swing platypus cricket bond missile paper,pistol
61,copter chopper aircraft seaplane ambulance,helicopter,file mole school octopus bear pound stock,microscope pants organ day staff check princess jet penguin,glass diamond cross center cast hook whale,stadium
62,wicket beak willow clipped mower,grass bat tail,diamond cross agent back jam,leprechaun boot string temple spider octopus sink date port,cycle whip eye tower jack brush sound,dance
63,gateway hub controller container dock,tower port box,diamond spike water lion hood poison,cell band deck lemon olive concert state cast,bridge tablet angel beach lab kangaroo match,penguin
64,outpatient inpatient clinic medical ambulance,hospital,night beat seal fighter dwarf drop post apple,honey lion hawk cook pan bomb iron eagle,band leprechaun star police novel eye mammoth,boom
65,coerce command forcing bind assert,string force,tablet pumpkin temple lawyer lemon track jam,penguin star vacuum dice parachute washer back helicopter,watch laser horse ring bolt vet phoenix,chick
66,period year generation iteration method,string model time,glass cricket ball soldier bark,green sock slip mouse crane bolt back pilot link,figure wave tooth park horse degree ambulance,octopus
67,play career scoring player defeat,life spell game,calf press missile pan lion,trunk shop mammoth torch arm penguin satellite church honey,forest witch line telescope nail pass lemon,olive
68,authentication daemon router client subsystem,server,millionaire pilot lawyer ray plot horse plane,worm pan swing button ivory light bar stream genius,gas fan fall note cricket water revolution,bed
69,observatory humpback whaling astronomer dolphin,whale telescope,ambulance bomb chest cast knight jam,nail fork horn berry triangle octopus pie light moon,ice head pipe rabbit tick pan strike,pitch
70,superman comic villain hero superhuman,superhero,ship theater sock ball duck soul bat ground,straw hole port deck millionaire ball trunk knife,laser limousine lawyer fence school fork whale,grass
71,inward outward angular sun eastward,bolt eye cross wind mass,board agent platypus paper,spider tag whip fighter pilot pool switch vacuum,pupil thief cotton octopus plastic alien teacher,ambulance
72,soil channel tributary alluvial bedrock,ground stream,diamond tag model eye scientist bugle,spike life point fire skyscraper tap deck calf fish,eagle nail battery square ice luck marble,shoe
73,sugar almond beeswax cocoa sorghum,cotton honey,night calf bear undertaker play shark march,track parachute sock bugle conductor space star cook,chair jack switch triangle dress capital snow,part
74,deer fencing boar machete spear,knife cross bear fence,theater doctor strike mass net,capital slip bill sock swing sink card ghost,state chick grace whale helicopter cast shoe,watch
75,brawler combatant middleweight superhero boxer,fighter dwarf pirate,contract car stadium orange straw center,hawk march horse bark mail port horn unicorn,scale pumpkin thief pin wind spike octopus,diamond
76,shamrock Irishman jester goblin elf,leprechaun,crash stadium round torch point well root chick,file tooth bug battery lemon king model note,china trunk paste eagle tail triangle cast,disease
77,feces tongue rat pig rodent,mouth wall rabbit,diamond rose strike field moon,port horn stadium match pumpkin light laser club honey,tower chick bomb switch log police shark,pass
78,coring auger shovel plow gouge,fork drill,ship pass berry duck mail disease,wall bottle chick piano lawyer berry trip calf vet,boot jet part dwarf rabbit fire chocolate,dress
79,mermaid ghoul exorcist squid sorcerer,octopus witch,boom washer head yard swing pipe,giant copper revolution luck pass dwarf file slug switch,church bow flute root platypus sink ambulance,lead
80,penthouse windowless edifice futuristic habitable,space skyscraper,glove chocolate hand school soldier pirate,dance fan nail net stock duck forest concert triangle,jack air copper wall night trip beach,train
81,medic serviceman sergeant infantryman reservist,soldier ambulance,sink plate mole track boot slip,battery pirate tablet crash telescope honey pitch scientist stadium,shop nurse log deck eye needle pole,lead
82,obelisk octagonal emblem Aztec serpent,pyramid eagle,hospital leprechaun thumb cloak spine witch,missile cook flute pound gold mail agent club crane,pumpkin park life mammoth wake hook parachute,robot
83,gigantic colossal majestic sprawling towering,park mammoth,leprechaun olive boot cap penguin spell,part day conductor suit berry net crane stock round,skyscraper scale ground fire eagle court kiwi,gas
84,chauffeur Mercedes taxicab minibus taxis,limousine car,worm millionaire cold dinosaur tube snow,line yard cloak chest temple space concert horseshoe trip,pilot beach palm rabbit lead rock marble,check
85,tying swung clinch knotted sway,swing tie,diamond torch ivory rabbit note box,tablet bug dance round knight straw row web litter,wall robin sock bat mail log shop,root
86,capsaicin curcumin molar fluorine anticancer,mole compound,turkey copper beat straw unicorn dress,date tablet worm fall sock skyscraper bugle charge luck,night nail triangle paper center crown plate,shop
87,syringe threaded forceps screw catheter,needle hook,crown stadium shoe fall soul pupil match,jack skyscraper fighter soldier dance bear board light,horseshoe stream berry litter cricket straw hood,kangaroo
88,trilogy memoir adaptation autobiographical fiction,novel,ambulance figure back train tube pin disease,glass rabbit carrot whale plastic lead soul roulette time,penguin root well cast pupil mouse chick,cricket
89,peony jasmine apple fragrant dinnerware,china berry rose,ambulance missile horn port ground,duck back tie pipe bug princess plot belt ivory,litter engine conductor press drill check palm,crane
90,viceroy Pharaoh Caesar deuce sultan,king dice scorpion,washer nail heart cold log,bed stream foot plot ghost rabbit stadium key spider,buck seal court duck carrot ship center,witch
91,attorney educator lecturer solicitor counselor,teacher lawyer,cover cross air piano horn satellite,ball shadow washer limousine organ scorpion paper giant triangle,poison string suit buck center field shoe,cliff
92,anchovy tarragon dill coriander balsamic,lemon octopus,racket pyramid genius bond skyscraper snow,server shoe table dice shot piano cycle car green,degree missile note spell plastic fire needle,scorpion
93,extraterrestrial otherworldly malevolent humanoid demonic,alien leprechaun,tick club bank mouse olive trunk,point worm ice fire tooth cycle kangaroo cap sink,soldier horse dinosaur soul swing spy mole,hospital
94,equestrian fencing footpath equine pony,horse chair fence park,turkey missile film sound green,ball pilot bow cold drill plate genius pit,angel penguin pie switch fly ice phoenix,space
95,observatory rocket launcher astronomy interceptor,telescope missile,crown theater pool horseshoe spring horse,washer cast cotton rose glove fair space organ superhero,comic play park spy part mail pyramid,hospital
96,tic uncheck mite bitten twitch,tick,glove light engine temple torch bugle ruler,cricket draft battery revolution cook mole square fire round,pirate ketchup school press shot piano stream,table
97,tutor educator dietician librarian supervisor,vet teacher check,tap ghost tail opera beach,shot washer roulette line cap date club capital knife,mouth arm ship moon sock ivory tie,horse
98,fairy bunny leprechaun elf goblin,apple ghost penguin,tick compound pit swing date,plastic bug date pistol forest bugle berry lion crane,teacher boom cook thief concert stream spot,film
99,screw unscrew poke pry plugged,stick tap thumb hole,kiwi film laser line,heart plot calf cover capital teacher wave dinosaur stream,fly crash straw court mass net jam,star
