,top_clues,top_friends,low_friends,foes,neutrals,assassin
79,percussion tuba oboe trumpet timpani,horn triangle,ground drop slug crash tooth date,club teacher hole plate beach pool poison bug cross,game pirate pole bugle force paper cotton,slip
80,murder thriller memoir protagonist autobiography,agent novel death,lemon bat fair seal stick,casino thumb pipe slip button mouse fire apple dwarf,fish pirate club brush olive box model,date
81,rebound bounce lob spiking upfield,spike ball,calf flute glass bugle web bottle,pumpkin degree giant doctor tail cast carrot turkey band,cycle glass hook net scorpion slip parachute,key
82,neck surge abdomen tapered downdraft,chest washer spike,bank cell link lab dinosaur,club platypus apple mouth pin drill cricket smuggler sink,embassy engine king vacuum gold alien ambulance,soldier
83,shipping shipment postal postage courier,tablet mail,trip kiwi sink chick helicopter ball witch,sock crown needle heart swing center degree dinosaur,server match water track moon forest tower,jack
84,starting close corner perimeter midway,point circle round,lemon green scientist fish space,bank whale church dice film cook unicorn bottle row,ship agent stadium suit water apple square,ketchup
85,final selected consistent crucial finalize,match draft key,chick knife pit smuggler jam,lion press battery poison ghost torch oil ketchup undertaker,temple wake train pumpkin moon trip shark,crane
86,infection diabetes illness epidemic tuberculosis,disease,card platypus tie hole theater bat web,spine beach robot horse mass turkey soul helicopter drop,mail cover roulette seal chocolate time screen,play
87,flight aboard airplane disembark aircrew,pilot train,octopus fall calf pitch kangaroo center ruler,stock horn skyscraper whale swing diamond tower fire,knife stick date parachute lemon worm hand,line
88,democratization rebellion upheaval revolt uprising,revolution,deck card bed iron concert contract boot pound,belt tag lawyer force orange agent bond hand,fork shark match eagle undertaker trunk ring,bridge
89,flamingo hippo iguana tarantula lizard,scorpion penguin unicorn,ground card note boom state foot,belt train organ paper moon space cross helicopter,crown sound air tap mole police apple,fire
90,wildlife zoo humpback manatee campground,park whale,port mug change laser pistol bow bomb,bat spine theater skyscraper field duck needle knight,penguin tablet screen foot stock horse space,wave
91,maritime piracy whaling rosewood seafaring,ivory pirate,swing stream canada church bear scorpion,cliff watch shadow straw bar leprechaun bark head jet,boot scale block fork park chest olive,torch
92,cinema ballet theatrical choreographer choreography,film dance theater,port turkey net time belt air,strike cricket plane thief crash hospital plastic bell,kangaroo arm pound mouse missile bomb game,match
93,pastor parish congregation archdiocese clergy,church police,pilot honey genius flute robin litter,scientist band pitch engine spring log platypus cliff disease,helicopter key grass thief piano lemon pound,whale
94,god queen fortune prince monarch,king luck,swing racket berry needle arm wind code,whip bell fire glove strike figure thief ivory,stream bank tag scorpion cap chocolate microscope,drill
95,rise decline downturn plummet slump,fall boom,soldier organ tube cotton ghost bomb,king shot shadow moon gold swing mount queen engine,cold brush log port iron knife pole,post
96,collapse bonanza bungee buoyant windfall,strike parachute boom,yard olive canada stock pan,circle press engine hand drop pilot point staff model,moon witch day fair worm torch car,laser
97,pump cylinder gallon psi propane,gas pound lock,organ fair track revolution round shadow,beach brush king train mass trip carrot forest,conductor check fork bear tube line horn,fall
98,dinner vacation meal bake itinerary,pumpkin cook trip,chair button dance stock bow casino,ambulance block lemon state pound pitch penguin circle,seal sink temple vet robot soldier straw,octopus
99,struck extend terminate disrupt thwart,pass block strike,plastic cliff dress stadium cricket witch,pyramid roulette bugle note dice casino cold bell,phoenix paper light time log penguin glass,duck
