,top_clues,top_friends,low_friends,foes,neutrals,assassin
81,document folder append submit filing,note file,gold berry moon penguin cliff staff,plastic shot ray mouth drill mammoth row hook nurse,force chocolate tail ground moon stick belt,round
82,chauffeur minibus taxi motorcade hearse,train limousine,turkey tower plate rock parachute duck,theater pass shoe card marble port litter chick missile,cook mug wave fork water server bomb,fighter
83,modify append specify update delete,change file,phoenix press jam robot plastic stick,alien fall comic note circle scientist chair bugle soldier,lawyer web arm washer engine church triangle,jack
84,bullion platinum medal coin lode,buck gold,light bar roulette cold organ block,key green skyscraper ice whip soul tail church stock,flute play bridge degree fall angel wake,spring
85,gambling baccarat poker keno gaming,casino jack,worm swing rose strike horn air,stadium slug wave hand well table worm string millionaire,doctor dwarf deck band casino glass nurse,stream
86,caramel cinnamon toffee almond cheesecake,chocolate carrot,row spider telescope cloak band grass,figure cycle force sink canada club straw chest table,buck scorpion telescope grace nut game dice,microscope
87,syringe parasite infected leech virus,worm needle,dice bear agent palm giant duck,worm fly plate trunk spring march plot bear needle,kiwi contract smuggler conductor fire lemon queen,helicopter
88,stallion flamingo pony thoroughbred racecourse,horse club penguin,pistol ship temple chest fly,net vacuum string change game board chair train calf,pipe jam buck dragon switch spy platypus,battery
89,textile silk cashmere linen wool,cotton china,school water well board scorpion round,tube pumpkin dance scorpion card straw stock mole lion,seal engine dwarf bug circle paper well,pirate
90,personnel department faculty administrative agency,staff state,cotton pin hand piano moon spy,poison bomb dinosaur concert brush copper rabbit crane thumb,lawyer bar tablet green wake laser belt,knife
91,raven laurel falcon mirage renaissance,phoenix,undertaker bar pin chocolate rock ice log,button fly queen paste apple car ground bat worm,scale degree parachute china lead film link,fall
92,lawn patio porch mile scrimmage,yard,state mole key pan duck jet jack,straw hospital parachute change octopus kiwi court pit bolt,bed rabbit buffalo field capital web eye,nurse
93,consulate consular ambassador diplomatic envoy,force embassy,game ray angel crane plastic round,shark nurse disease scorpion air plot diamond glove field,pumpkin alien space luck chest mouth chocolate,iron
94,watertight airtight affix gasket lid,seal,code sound glove whip cloak thumb time,disease lab turkey bar slip fly ice capital part,beat revolution belt scale telescope fan bow,net
95,cheesecake chef dessert custard parfait,kiwi ice cook,ring degree scale charge sock,bottle figure sound fork ground bar snow field drill,grace king sock key paste hand triangle,stream
96,triangular circle rectangle pylon circumference,pole triangle,chick bond sink life tap bridge,green fighter chick penguin robot switch belt button cell,robin cycle spot lion wake march key,piano
97,trading earnings dividend repurchase market,stock,dinosaur bug telescope spell opera straw grass,shark horse board bow pound pin watch orange slug,superhero ray plane log thief ball change,plot
98,microbiology technician toxicology research microbiologist,lab,bar mouth hand green lock file eagle,bear ray forest hook roulette glass leprechaun park buck,life sound lab check carrot ruler server,pool
99,spiking dip serrated taper upswing,spike fork,track court cycle key dragon mouse,bow line sink straw figure glass file contract row,scientist code kiwi cover scale chick dice,embassy
