,top_clues,top_friends,low_friends,foes,neutrals,assassin
40,rodent hamster marsupial mammal primate,dinosaur mouse,ice port tower plastic orange track,cliff fence phoenix spring organ fighter olive cycle ambulance,crash crane spell stick rock pin board,genius
41,verify test tested evaluate confirm,cold check lab,film contract conductor triangle belt,robin fork wall washer helicopter knife plate shark telescope,tower capital triangle bat bar star apple,ketchup
42,bale burlap sawdust flimsy fodder,straw,vacuum plane bank skyscraper drop fly car,cotton china staff head giant agent club pistol vet,strike phoenix fly drill maple tick moon,microscope
43,gnome elf meerkat mascot ogre,penguin leprechaun,tower bark ray mass root day,horseshoe train plane unicorn suit compound engine nut cover,board soldier rabbit bed church degree octopus,ivory
44,eucalyptus shrub mesquite yucca thatch,palm bark grass,pupil turkey honey fair roulette,scientist lion princess heart ground night table spine pupil,marble straw china chair board hood nurse,sound
45,fencing railing berm grandstand barricade,fence pit,tooth conductor undertaker opera light cast,band night mouse track washer mole light bolt ice,angel line canada wave pitch parachute crash,fish
46,propane electricity refrigerant boiler detergent,washer gas,ring horseshoe turkey green block chest,foot hook point lock cast port ketchup string smuggler,lawyer dinosaur pipe wave cloak cycle post,belt
47,site listing relevant record documentation,date track web,shot night compound diamond carrot,club air box stream swing pin glass telescope revolution,card star iron point round king spine,spring
48,cardiac cardiologist patient coronary cardiology,heart hospital,star queen crash marble angel ball,slug penguin lab gas light canada trunk shoe soldier,glove piano shadow crash hawk rose water,theater
49,folder append parse overwrite compile,file string,cloak lead shadow glove microscope pitch,penguin band mammoth plane cycle fair port stream crash,boom square bolt nurse tail star paste,genius
50,activate nudge nibble tweak switch,tap tick,pistol spy police teacher boom grace,ruler pants skyscraper casino cotton turkey platypus field web,leprechaun pan well film board time grass,capital
51,trash compost garbage detritus mulch,litter,cap phoenix round tag net ketchup green,pirate roulette tail dwarf ball string lead whale code,cap note model game wave tag bottle,rose
52,interceptor aircraft airliner hypersonic bomber,missile pilot,stick contract knife rock tie gold,part maple water telescope watch press key time pass,night bugle litter tooth point march fall,luck
53,recliner sofa thermos jug bookcase,chair mug,plate pyramid gas tube comic hook,jet bar disease beat train time contract scientist track,octopus cotton gas cook laser tick bark,code
54,fencing away loud outside swinging,back sound fence,knight spider oil boot parachute,vet shoe crash wake file alien novel bridge pumpkin,boot berry mammoth cook plane comic light,mount
55,haunt jinx omen resurrect misfortune,luck ghost star strike,straw wind stadium scale,center diamond ray ring genius cell wall fire marble,tie teacher pirate bridge eye film pie,canada
56,mast skyscraper islet scaffold spire,cell tower,change piano maple capital buffalo genius,mount thief cover slip life sound bell comic bat,fish maple engine plate capital suit stock,code
57,inspect reimburse notify arrange peruse,check cover,casino scale row day spring tie,wall cloak dance bear ball suit shoe pound post,forest tooth string lock lion alien racket,point
58,site browser content browsing page,web,round lion boot card day apple rabbit,kiwi duck angel table paper root agent temple circle,port wall buck wake cliff orange opera,rabbit
59,decline add write increase decrease,note drop,dragon fan parachute bell capital duck,star water nurse olive date shoe straw beat slug,bat staff fork ambulance dwarf robot glass,superhero
60,trash compost detritus garbage mulch,litter,march gas ground chair press beat revolution,model temple link day jet mass fighter buffalo bell,soldier ray shot log glove draft iron,star
61,attorney sergeant officer magistrate serviceman,soldier police lawyer,lead game unicorn tie cell,pants queen iron figure pass part dinosaur eye stock,fall rose root kiwi washer ball charge,table
62,screw coaxial tubing plunger pin,tube stick jack,comic worm genius fair center,carrot battery mammoth chick box spell dragon heart worm,eye draft marble tap ambulance conductor screen,ghost
63,zoo campground conservancy plaza mall,bank park,contract bow chair pirate circle dress,club head rose tap bill pole laser straw back,smuggler code pants cook king eye cell,sink
64,regiment vigil parade deserter procession,march soldier,mouse sink spike key superhero bolt,point superhero ship compound air cast car litter chest,satellite duck change dice revolution bottle poison,pilot
65,screw latch wrench rivet lever,bolt hook,tick tower ground canada nurse cold,bark fire cap boom lawyer pirate calf triangle temple,cliff foot cover jam oil match octopus,comic
66,auditorium choreographer choreography gymnasium amphitheater,moon dance fighter stadium,screen plate cotton chocolate,match tag diamond suit swing jam scorpion pirate time,log bottle thumb pole head cold sink,knight
67,piracy Blackbeard seafaring Somali swashbuckling,pirate,strike state bill play copper revolution pipe,chocolate strike dice bow stick ghost church lemon wall,ray tablet spine doctor horn comic pumpkin,chest
68,strawberry pear raspberry blueberry rhubarb,apple carrot mug,knight play circle suit fighter,ghost march skyscraper staff stick oil tower board charge,horn torch glass pie crash fence spell,pole
69,gale gusty gust breeze Vestas,dragon wind,cap button head post luck doctor,mouth unicorn server game trip fly calf missile spike,olive thief revolution satellite link luck wave,switch
70,parasite nematode tumor epithelial microbe,cell mole worm,string part king giant embassy,fire figure fork worm shot post band glove tap,mole organ circle princess stock ray hand,pitch
71,hypersonic interceptor weaponry mothership ballistic,missile alien,screen port roulette fork dress cold,wake wind tail king deck novel field cycle spot,platypus bow opera tick arm pupil march,scientist
72,interceptor rocket orbit unmanned hypersonic,satellite missile,dragon bed horseshoe shoe fair fork,thumb nail day plate charge cricket alien fan ray,ketchup casino crash robin dance diamond plane,park
73,syringe scalpel tweezers ultrasonic crystal,laser glass needle,church honey death worm rabbit,lead duck dwarf net ship gas bridge tie card,forest luck bugle fork pit dress jet,police
74,wallaby possum marsupial croc alpaca,kangaroo sock,plot bugle pin band grass shop,pound doctor crown plate spot death soul pass life,comic tap forest dice net teacher dinosaur,port
75,amendment legislation provision proposal addendum,note bill,back unicorn thumb dice mouth missile,sink spring game dinosaur pyramid film whip ring angel,string berry laser tube millionaire telescope pass,poison
76,oboe clarinet flutist bassoon cello,flute teacher,match skyscraper tick crown scorpion cast,dinosaur row board tag comic lawyer witch bark stock,beach seal roulette pistol state line plane,soul
77,increase repeal decline amend enact,wake bill drop,bottle crane crown scorpion racket,ice hawk dice queen fence cross theater trip sink,ring laser round ray smuggler shadow paste,chest
78,market platter plating trading issuance,plate stock,date drop pilot bark spike track,platypus game bug bomb iron change hole penguin foot,whip pass wake laser knife school apple,spine
79,adjust reset modify click delete,change button,queen model cloak undertaker soul lion,mouse torch bugle jet force gold bar octopus capital,conductor satellite fan hand rock car parachute,wave
80,bunny raccoon opossum possum rodent,leprechaun rabbit,cover log scale wall box boom,mount pin march wind bill cross maple temple revolution,pole spot center mouse wave plane cycle,pass
81,wealthy businessman philanthropist tycoon industrialist,figure millionaire,piano night sock mole nurse beach,yard jet fighter club air degree pan tower agent,tail crash millionaire pyramid tie penguin ghost,chick
82,oratorio orchestra choral orchestral harpsichord,organ opera,pass ground wall stadium dice vet,bottle suit whip plate pirate ghost ship crane triangle,crash vacuum berry teacher lawyer slip piano,phoenix
83,festival venue event compilation reunion,concert track,vacuum ground wave chair crash revolution,lock ring suit queen scale oil laser shop china,mole ground washer buck mouth revolution time,piano
84,flame rappel rucksack lanyard pyre,torch parachute,well platypus teacher field roulette shop,pumpkin point arm comic bank kiwi church water tap,washer cricket witch tower hole glove poison,concert
85,funk mash unplugged improvisation improvisational,jam,plane star ivory pass bomb king missile,beach snow play needle torch log carrot school pound,shoe watch press port track agent tag,bridge
86,kilo pup ounce kilogram runt,litter pound,star church bow stream eye copper,temple shoe pitch court bat palm police mass wake,ground calf compound stock charge cotton leprechaun,space
87,photon ultraviolet refraction firefly radiance,ray,casino round plate trip millionaire honey paste,crash trip tie orange conductor honey row bow cycle,tower shadow olive duck opera copper calf,shot
88,citrus apricot lavender peach vinegar,lemon cotton,plane shadow scale web thief canada,dance mammoth moon bugle diamond pound calf robot pole,swing disease string film charge bar police,shoe
89,weld molybdenum alloy silver tungsten,copper bolt,force well shoe robot swing nurse,maple spider embassy back opera port staff plate skyscraper,box draft death police limousine dice thief,cell
90,spring conference summer announce rise,fall press,whip card thief code cricket check,missile space mouse lemon queen beat octopus paste gold,life log car scientist triangle port needle,canada
91,teacher legislator education student headmaster,state pupil,gold poison fan genius pitch duck,belt row court string robot tag dance pound march,plane pitch cricket cliff lock king bottle,casino
92,tinny muffled melodious gurgling audible,sound tap,king diamond opera belt date draft,file crane bolt ship agent fan swing band state,charge bridge penguin kiwi engine skyscraper canada,whip
93,printed read scan copy photocopy,check screen paper pants,wave church skyscraper telescope,jack water key chair mount embassy cotton match fighter,agent missile court fire dress shot copper,shadow
94,plummeted equity grew shrank liquidity,rose capital,film ice fire file light vet,hook compound ring bed novel spell slip life bar,buck dragon fair nail palm princess pole,strike
95,microbiologist biochemist chemist biologist technologist,scientist lab nurse,circle pool king giant copper,whip cold well soul spring pitch robin link pin,post church penguin opera eye rabbit canada,hood
96,traverse retake traversed intercept intersect,pass cross,church hole ground life fighter check,ray cycle court marble maple poison ground cold tie,iron tail pilot pin horseshoe bow mole,slip
97,field scrimmage sideline infield berth,ground yard spot,state staff helicopter dwarf embassy,fish lion post dice witch rock foot robot vacuum,kiwi cell back fork film millionaire king,plastic
98,tuna whaling swordfish watertight fin,shark seal,whip deck triangle ghost eye moon,pistol scorpion robin canada honey post shoe fall bomb,well boot ball spot fighter organ knight,dinosaur
99,motorcade taxicab hearse minibus taxi,limousine,spider skyscraper chocolate needle comic eye doctor,ghost bark mail hand chair horn drop ice pirate,poison flute lead satellite limousine parachute part,agent
